Byte-by-byte Description of file: table2.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1-  7  F7.2  0.1nm   Wave      Wavelength in Angstroms
   9- 12  F4.1  ---     Species   Species identifier (1)
  14- 17  F4.2  eV      ExPot     Excitation potential
  19- 23  F5.2  [-]     log(gf)   Log of the oscillator strength
  25- 29  F5.1  0.1pm   Vesta1    ? ESPaDOnS equivalent width of Vesta (2)
  31- 35  F5.1  0.1pm   Ceres     ? ESPaDOnS equivalent width of Ceres (2)
  37- 41  F5.1  0.1pm   Vesta2    ? MIKE June 24, 2011 equivalent width
                                   of Vesta (2)
  43- 47  F5.1  0.1pm   Vesta3    ? MIKE Sept 09, 2011 equivalent width
                                   of Vesta (2)
  49- 53  F5.1  0.1pm   Iris      ? MIKE equivalent width of Iris (2)
--------------------------------------------------------------------------------
Note (1): Where the number before the decimal is the element number and the
          number after the decimal is the ionization state, e.g. 6.0=C I.
Note (2): In units of milli-Angstroms. Observation details available in Table 1.
--------------------------------------------------------------------------------
5052.17  6.0 7.68 -1.24  33.6  34.2
6245.63 21.1 1.51 -1.03  32.9  33.1  34.9  35.2  35.3
6279.76 21.1 1.50 -1.20  28.3  28.1
6320.84 21.1 1.50 -1.85   8.2   8.3   7.7   8.5   8.3
6604.58 21.1 1.36 -1.15  35.2  35.7  36.4  36.1  35.8
4465.80 22.0 1.74 -0.16  43.0  41.9  37.1  36.6  36.9
4555.48 22.0 0.85 -0.49              63.0  62.0  63.7
4758.12 22.0 2.25  0.43  41.8  42.3  42.3  42.5  42.5
4759.27 22.0 2.26  0.51  46.2  46.7  46.8  46.6  46.9
4820.41 22.0 1.50 -0.44  42.0  42.6  44.0  43.9  43.4
4913.62 22.0 1.87  0.16  51.0  51.0
5022.87 22.0 0.83 -0.43  74.8  75.4  72.4  72.2  72.2
5113.45 22.0 1.44 -0.78  28.2  27.6  25.3  26.2  26.1
5147.48 22.0 0.00 -2.01  35.7  36.2  35.8  36.2  36.7
5219.70 22.0 0.02 -2.24  28.4  28.8  27.2  27.7  28.3
5295.77 22.0 1.07 -1.63  12.2  12.9  12.9  12.6  12.1
5490.15 22.0 1.46 -0.93  21.3  21.9  21.2  20.6  21.1
5739.46 22.0 2.25 -0.60   7.6   8.1   8.4   8.2   8.8
5866.45 22.0 1.07 -0.84  46.0  45.6  49.7  48.7  49.3
6091.17 22.0 2.27 -0.42  13.9  13.0  14.6  14.8  14.3
6126.22 22.0 1.07 -1.42  22.2  21.5  21.7  22.1  21.5
6258.10 22.0 1.44 -0.35  50.1  48.8  51.3  51.4  51.7
6261.10 22.0 1.43 -0.48  47.9  49.1  49.4  49.2  49.4
4470.86 22.1 1.16 -2.06  61.2  61.7  64.9  65.3  65.2
4544.03 22.1 1.24 -2.53  43.3  44.1  41.0  40.2  42.5
4583.41 22.1 1.16 -2.87  30.7  29.8  28.9  27.3  29.0
4636.33 22.1 1.16 -3.15  18.4  18.6  20.0  19.9  20.3
4657.21 22.1 1.24 -2.47  40.9  40.7
4865.61 22.1 1.12 -2.81  38.5  39.5  39.3  40.1  39.4
4874.01 22.1 3.10 -0.90  30.2  30.7  36.2  36.1  36.5
4911.19 22.1 3.12 -0.54  41.3  40.4
5211.54 22.1 2.59 -1.49  31.6  31.4  31.9  33.6  32.5
5336.78 22.1 1.58 -1.63  68.5  67.9  73.9  72.6  73.6
5381.02 22.1 1.57 -1.97  56.7  56.5  60.8  59.8  61.3
5418.77 22.1 1.58 -2.11  45.6  45.1  48.4  49.1  49.1
4875.49 23.0 0.04 -0.81  46.1  45.3  44.5  44.3  45.0
5670.85 23.0 1.08 -0.42  18.0  18.4  19.7  19.1  19.9
5727.05 23.0 1.08 -0.01  36.8  37.8  39.5  38.5  39.1
6039.73 23.0 1.06 -0.65  13.0  13.0  12.7  12.8  12.7
