Byte-by-byte Description of file: table2.dat
--------------------------------------------------------------------------------
   Bytes Format Units     Label     Explanations
--------------------------------------------------------------------------------
   1-  3  A3    ---       ---       [HIP]
   4-  9  I6    ---       HIP       HIP identification number
  11- 12  I2    h         RAh       Right ascension (J2000.0)
  14- 15  I2    min       RAm       Right ascension (J2000.0)
  17- 22  F6.3  s         RAs       Right ascension (J2000.0)
      24  A1    ---       DE-       Declination sign (J2000.0)
  25- 26  I2    deg       DEd       Declination (J2000.0)
  28- 29  I2    arcmin    DEm       Declination (J2000.0)
  31- 35  F5.2  arcsec    DEs       Declination (J2000.0)
  37- 40  I4    pix-1     SNR       Signal-to-noise ratio
  42- 45  I4    K         Teff      Effective temperature
  47- 48  I2    K       e_Teff      Error of effective temperature
  50- 54  F5.3  [cm/s2]   logg      Surface gravity
  56- 60  F5.3  [cm/s2] e_logg      Error of Surface gravity
  62- 67  F6.3  ---       [Fe/H]    Iron abundance
  69- 73  F5.3  ---     e_[Fe/H]    Error of iron abundance
  75- 78  F4.2  km/s      Xi        Microturbulence
  80- 83  F4.2  km/s    e_Xi        Error of microturbulence
--------------------------------------------------------------------------------
HIP 42333  8 37 50.294 -06 48 24.78 1000 5846  8 4.500 0.016  0.132 0.006 1.11 0.01
HIP 43297  8 49 12.529 +03 29  5.12 1000 5705  4 4.505 0.009  0.082 0.003 1.00 0.01
HIP 44713  9  6 38.831 -43 29 31.12 1500 5759  3 4.280 0.010  0.063 0.004 1.09 0.01
HIP 44935  9  9 10.367 +10 49 18.11  600 5771  4 4.370 0.012  0.038 0.004 1.04 0.01
HIP 44997  9  9 53.860 +14 27 24.35  800 5728  3 4.410 0.011 -0.012 0.003 0.96 0.01
HIP  4909  1  2 57.420 -09 51 40.46  500 5861  7 4.500 0.016  0.048 0.006 1.11 0.01
HIP 49756 10  9 23.429 +02 22 15.90 1000 5789  3 4.435 0.009  0.023 0.003 1.03 0.01
HIP  5301  1  7 48.663 -08 14  1.33  300 5723  3 4.395 0.011 -0.074 0.003 0.98 0.01
HIP 54102 11  4 13.641 -57 45 54.48  500 5845  6 4.510 0.010  0.011 0.005 1.06 0.01
HIP 54287 11  6 19.745 -44 22 23.94 1600 5714  4 4.340 0.012  0.107 0.004 0.99 0.01
HIP 54582 11 10 13.344 -07 23 21.86 1400 5883  5 4.280 0.014 -0.096 0.004 1.20 0.01
HIP 62039 12 42 59.325 -04  2 57.59  800 5742  3 4.340 0.010  0.104 0.003 1.02 0.01
HIP  6407  1 22 18.721 +03 30 47.19  300 5775  7 4.505 0.013 -0.058 0.006 0.98 0.01
HIP 64150 13  8 51.024 +05 12 26.01 1100 5747  2 4.370 0.008  0.049 0.003 1.02 0.01
HIP 64673 13 15 20.513 -55 20 29.73  700 5912  5 4.290 0.014 -0.017 0.004 1.20 0.01
HIP 64713 13 15 47.388 -29 30 21.19  500 5788  4 4.435 0.013 -0.043 0.003 1.00 0.01
HIP 65708 13 28 18.709 -00 50 24.68  500 5746  5 4.220 0.012 -0.063 0.005 1.12 0.01
HIP 68468 14  1  3.610 -32 45 25.03  600 5845  5 4.330 0.013  0.071 0.004 1.10 0.01
HIP 69645 14 15 14.976 -42 48 16.75  500 5751  3 4.435 0.010 -0.026 0.004 1.00 0.01
HIP 72043 14 44 11.694 +18 27 43.56  900 5845  4 4.340 0.011 -0.026 0.003 1.12 0.01
HIP 73241 14 58  8.801 -48 51 46.77  600 5661  5 4.215 0.014  0.092 0.005 1.00 0.01
HIP 73815 15  5 13.249 +06 17 23.67  600 5790  3 4.325 0.008  0.023 0.003 1.07 0.01
HIP 74389 15 12 10.355 -30 53 10.66 1000 5845  3 4.440 0.011  0.083 0.003 1.05 0.01
HIP 74432 15 12 43.481 +19 17  9.74 1200 5679  5 4.170 0.013  0.048 0.005 1.09 0.01
HIP  7585  1 37 40.879 +12  4 42.17 1100 5822  3 4.445 0.008  0.083 0.003 1.01 0.01
HIP 76114 15 32 43.653 +10 58  5.88 1100 5740  3 4.410 0.010 -0.024 0.003 0.97 0.01
HIP 77052 15 44  1.821 +02 30 54.63 1200 5687  3 4.450 0.012  0.051 0.003 0.96 0.01
HIP 77883 15 54 19.789 -08 34 49.37  600 5699  3 4.375 0.011  0.017 0.003 0.99 0.01
HIP 79578 16 14 11.934 -31 39 49.18  900 5810  3 4.465 0.010  0.048 0.003 1.02 0.01
HIP 79715 16 16  6.420 -52 48 52.37 1700 5816  4 4.380 0.011 -0.037 0.004 1.09 0.01
HIP 79672 16 15 37.269 -08 22  9.99  600 5808  3 4.440 0.009  0.041 0.003 1.02 0.01
HIP 81746 16 41 49.795 -45 22  7.45  400 5715  3 4.370 0.010 -0.091 0.003 0.99 0.01
HIP 83276 17  1 10.758 -13 34  1.65  500 5886  6 4.240 0.015 -0.093 0.005 1.23 0.01
HIP 85042 17 22 51.288 -02 23 17.44 1200 5685  3 4.350 0.010  0.030 0.003 0.97 0.01
HIP  8507  1 49 42.921 -18 56  9.84  600 5717  3 4.460 0.011 -0.099 0.003 0.96 0.01
HIP 87769 17 55 45.350 +11 48 14.09  500 5828  3 4.400 0.010  0.072 0.004 1.03 0.01
HIP 89650 18 17 44.143 -61 42 31.61  500 5851  3 4.415 0.011 -0.015 0.003 1.10 0.01
HIP  9349  2  0  5.338 -13 32 46.00  800 5818  6 4.515 0.011 -0.006 0.005 1.09 0.01
HIP 95962 19 30 52.719 -06 30 51.92 1800 5805  3 4.380 0.009  0.029 0.003 1.04 0.01
HIP 96160 19 33  8.594 -54 31 56.56  500 5798  4 4.480 0.012 -0.036 0.003 1.02 0.01
