Byte-by-byte Description of file: ews.dat
--------------------------------------------------------------------------------
   Bytes Format Units    Label     Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---      Name      HIP number or "Sun"
      11 A1     ---    n_lambda    Note on lambda (1)
  12- 19 F8.3   0.1nm    lambda    [4082.9/7775.4] Rest wavelength of line
                                    in Angstroms
  21- 21 A1     ---    f_lambda    Source flag (2)
  23- 27 F5.1   ---      Ion       [6/106] Species identifier (3)
  29- 34 F6.4   eV       EP        [0/9.2] Excitation potential
  36- 42 F7.4   [-]      log(gf)   [-5.8/0.6] Log of the oscillator strength
  44- 50 F7.3   10-13m   EW        [5/130]?=0 Measured equivalent width
--------------------------------------------------------------------------------
HIP 10175  6126.217    22.0 1.066  -1.424   23.5
HIP 10175  6258.104    22.0 1.443  -0.355   53.4
HIP 10175  6261.101    22.0 1.429  -0.479   49.5
HIP 10175  4470.857    22.1 1.1649 -2.06    64.4
HIP 10175  4544.028    22.1 1.2429 -2.53    40.6
HIP 10175  4583.408    22.1 1.165  -2.87    31.1
HIP 10175  4636.33     22.1 1.16   -3.152   19.6
HIP 10175  4657.212    22.1 1.243  -2.47    50.9
HIP 10175  4779.985    22.1 2.0477 -1.26    63.8
HIP 10175  4865.611    22.1 1.116  -2.81    37.0
HIP 10175  4874.014    22.1 3.095  -0.9     35.1
HIP 10175  4911.193    22.1 3.123  -0.537   50.4
HIP 10175  5211.54     22.1 2.59   -1.49    31.6
HIP 10175  5381.015    22.1 1.565  -1.97    57.9
HIP 10175  5418.767    22.1 1.582  -2.11    47.6
HIP 10175  4875.462    23.0 0.04   -2.616   49.1
HIP 10175 -4875.464    23.0 0.04   -2.331    0.0
HIP 10175 -4875.464    23.0 0.04   -2.586    0.0
HIP 10175 -4875.468    23.0 0.04   -2.586    0.0
HIP 10175 -4875.468    23.0 0.04   -2.143    0.0
HIP 10175 -4875.468    23.0 0.04   -2.637    0.0
HIP 10175 -4875.474    23.0 0.04   -2.198    0.0
HIP 10175 -4875.474    23.0 0.04   -2.052    0.0
HIP 10175 -4875.474    23.0 0.04   -2.762    0.0
HIP 10175 -4875.481    23.0 0.04   -1.943    0.0
HIP 10175 -4875.481    23.0 0.04   -2.03     0.0
HIP 10175 -4875.481    23.0 0.04   -2.984    0.0
HIP 10175 -4875.491    23.0 0.04   -1.745    0.0
HIP 10175 -4875.491    23.0 0.04   -2.084    0.0
HIP 10175 -4875.491    23.0 0.04   -3.394    0.0
HIP 10175 -4875.503    23.0 0.04   -1.581    0.0
HIP 10175 -4875.503    23.0 0.04   -2.28     0.0
HIP 10175 -4875.517    23.0 0.04   -1.44     0.0
HIP 10175  5670.832    23.0 1.08   -3.402   20.0
HIP 10175 -5670.832    23.0 1.08   -2.101    0.0
HIP 10175 -5670.832    23.0 1.08   -1.093    0.0
HIP 10175 -5670.844    23.0 1.08   -3.004    0.0
HIP 10175 -5670.844    23.0 1.08   -1.891    0.0
HIP 10175 -5670.844    23.0 1.08   -1.198    0.0
HIP 10175 -5670.854    23.0 1.08   -2.8      0.0
HIP 10175 -5670.854    23.0 1.08   -1.817    0.0
HIP 10175 -5670.854    23.0 1.08   -1.314    0.0
HIP 10175 -5670.863    23.0 1.08   -2.703    0.0
HIP 10175 -5670.863    23.0 1.08   -1.811    0.0
HIP 10175 -5670.863    23.0 1.08   -1.443    0.0
HIP 10175 -5670.87     23.0 1.08   -2.703    0.0
HIP 10175 -5670.87     23.0 1.08   -1.858    0.0
HIP 10175 -5670.87     23.0 1.08   -1.589    0.0
HIP 10175 -5670.875    23.0 1.08   -2.858    0.0
HIP 10175 -5670.875    23.0 1.08   -1.963    0.0
HIP 10175 -5670.875    23.0 1.08   -1.759    0.0
HIP 10175 -5670.878    23.0 1.08   -2.159    0.0
HIP 10175 -5670.878    23.0 1.08   -1.963    0.0
HIP 10175 -5670.88     23.0 1.08   -2.226    0.0
HIP 10175  5727.027    23.0 1.081  -2.993   40.8
HIP 10175 -5727.027    23.0 1.081  -1.692    0.0
HIP 10175 -5727.027    23.0 1.081  -0.684    0.0
HIP 10175 -5727.039    23.0 1.081  -2.595    0.0
HIP 10175 -5727.039    23.0 1.081  -1.481    0.0
HIP 10175 -5727.039    23.0 1.081  -0.789    0.0
HIP 10175 -5727.049    23.0 1.081  -2.391    0.0
HIP 10175 -5727.049    23.0 1.081  -1.408    0.0
HIP 10175 -5727.049    23.0 1.081  -0.905    0.0
HIP 10175 -5727.058    23.0 1.081  -2.294    0.0
HIP 10175 -5727.058    23.0 1.081  -1.402    0.0
HIP 10175 -5727.058    23.0 1.081  -1.034    0.0
HIP 10175 -5727.065    23.0 1.081  -2.294    0.0
HIP 10175 -5727.065    23.0 1.081  -1.449    0.0
HIP 10175 -5727.065    23.0 1.081  -1.18     0.0
HIP 10175 -5727.07     23.0 1.081  -2.449    0.0
HIP 10175 -5727.07     23.0 1.081  -1.554    0.0
HIP 10175 -5727.07     23.0 1.081  -1.35     0.0
HIP 10175 -5727.074    23.0 1.081  -1.75     0.0
HIP 10175 -5727.074    23.0 1.081  -1.554    0.0
HIP 10175 -5727.076    23.0 1.081  -1.817    0.0
HIP 10175  6039.727    23.0 1.063  -1.854   13.3
HIP 10175 -6039.729    23.0 1.063  -1.854    0.0
HIP 10175 -6039.73     23.0 1.063  -2.03     0.0
HIP 10175 -6039.733    23.0 1.063  -1.69     0.0
HIP 10175 -6039.733    23.0 1.063  -2.155    0.0
HIP 10175 -6039.734    23.0 1.063  -2.28     0.0
HIP 10175 -6039.738    23.0 1.063  -1.682    0.0
HIP 10175 -6039.738    23.0 1.063  -1.716    0.0
HIP 10175 -6039.739    23.0 1.063  -2.708    0.0
HIP 10175 -6039.744    23.0 1.063  -1.843    0.0
HIP 10175 -6039.744    23.0 1.063  -1.433    0.0
HIP 10175 -6039.751    23.0 1.063  -1.217    0.0
HIP 10175  6081.417    23.0 1.051  -1.66    15.0
HIP 10175 -6081.417    23.0 1.051  -1.484    0.0
HIP 10175 -6081.427    23.0 1.051  -1.484    0.0
HIP 10175 -6081.428    23.0 1.051  -1.359    0.0
HIP 10175 -6081.442    23.0 1.051  -1.359    0.0
HIP 10175 -6081.442    23.0 1.051  -1.677    0.0
HIP 10175 -6081.442    23.0 1.051  -1.472    0.0
HIP 10175 -6081.46     23.0 1.051  -1.472    0.0
HIP 10175  6090.199    23.0 1.08   -0.692   34.0
HIP 10175 -6090.207    23.0 1.08   -0.833    0.0
HIP 10175 -6090.213    23.0 1.08   -0.997    0.0
HIP 10175 -6090.213    23.0 1.08   -1.532    0.0
HIP 10175 -6090.218    23.0 1.08   -1.195    0.0
HIP 10175 -6090.218    23.0 1.08   -1.336    0.0
HIP 10175 -6090.223    23.0 1.08   -1.45     0.0
HIP 10175 -6090.223    23.0 1.08   -1.282    0.0
HIP 10175 -6090.225    23.0 1.08   -2.646    0.0
HIP 10175 -6090.226    23.0 1.08   -1.304    0.0
HIP 10175 -6090.227    23.0 1.08   -1.838    0.0
HIP 10175 -6090.228    23.0 1.08   -2.236    0.0
HIP 10175 -6090.229    23.0 1.08   -1.394    0.0
HIP 10175 -6090.231    23.0 1.08   -1.583    0.0
HIP 10175 -6090.231    23.0 1.08   -2.014    0.0
HIP 10175 -6090.232    23.0 1.08   -1.889    0.0
HIP 10175 -6090.233    23.0 1.08   -1.868    0.0
